Sr. No,RERA ID,Developer Name,Project Name,Location,Town,Tie-up status,Create Date,Status
2737,P52100046408,Sai Samarth Developers,Sai Samarth Crystal Space,Bopkhel,Pimpri Chinchwad,No,30/08/2022,Active
2738,"P52100027368(OC Recevied),P52100048671",Nancy Group,Nancy Hill View,Baner,Pune West,No,30/08/2022,Active
2739,P52100031363,Harsh Properties ,Harsh Platinum,Baner,Pune West,No,30/08/2022,Active
2740,P52100028701,Avadhoot Constructions,Avadhoot Anitakunj,Kothrud,Pune Center,No,30/08/2022,Active
2741,P52100046270,Vasant Realty,Vasant Estella ,Akurdi ,Pimpri Chinchwad,No,1/9/2022,Active
2742,P52100031518,Falgunee Creators Llp,Falgunee Arihant Heights,Punawale,Pune West,No,1/9/2022,Sold Out
2743,"P52100046186,P52100045639,P52100046251",Dynamic Realty,Dynamic Passcode Avante (Dynamic Grandeur Premium),Undri,Pune South,No,1/9/2022,Active
2744,P52100046401,Realty Seven,Realty Seven Ushakiran,Sadashiv Peth,Pune Center,No,2/9/2022,Active
2745,P52100012616,"Spectrum Properties,The Vibe Realty",Spectrum Vertillas,Kharadi,Pune East,No,2/9/2022,Active
2746,P52100033575,Swami Samarth Developers,Samarth Heights,Vadgaon,Pimpri Chinchwad,No,2/9/2022,Sold Out
2747,P52100035108,Fortune Developers,Parisar Apartment,Erandwane,Pune Center,No,5/9/2022,Inactive
2748,P52100046016,A K Developers,AK Sky One,Ghorpadi,Pune East,No,5/9/2022,Active
2749,P52100034138,Archway Estates,Archway Gangawas,Erandwane,Pune Center,No,5/9/2022,Sold Out
2750,P52100046533,"Buildwick Properties	",Buildwick Golden Valley,Keshav Nagar ,Pune East,No,6/9/2022,Active
2751,P52100046187,"Rui Universal Realities	",Rui 146 Vishwaganga,Kothrud,Pune Center,No,6/9/2022,Active
2752,P52100046729,Godrej Property ,Godrej Woodsville,Hinjawadi Phase ,Pune West,No,6/9/2022,Active
2753,P52100025203,Gawade Realty LLP,Gawade Galaxy ,Ravet,Pune West,No,7/9/2022,Active
2754,P52100046719,Rohan Builders,Rohan Viti,Wakad,Pune West,No,7/9/2022,Sold Out
2755,P52100034033,Nobel Constructions,Nobel Pride,Guruwar Peth,Pune Center,No,8/9/2022,Active
2756,P52100032495,Shree Sai Developers,Shree Sai Palace,Ravet,Pune West,No,8/9/2022,Active
2757,P52100046357,Shashwat Realty,Shashwat 55 Shashwat Avenue,Anand Nagar,Pune South,No,8/9/2022,Sold Out
2758,P52100046568,Iristo Group,Iristo Gold,Talegaon Dabhade,Pimpri Chinchwad,No,9/9/2022,Active
2759,P52100046690,Yogesh Enterprises,Gandharv Pearl,Dighi,Pimpri Chinchwad,No,9/9/2022,Inactive
2760,P52100032853,Maruti Group,Maruti Ravi Uday,Moshi,Pimpri Chinchwad,No,12/9/2022,Sold Out
2761,P52100045726,Maruti Group,Maruti Ravikiran Annexe Phase I,Bhosari,Pimpri Chinchwad,No,12/9/2022,Active
2762,P52100028905,Prisma Realty Pvt Ltd,Prisma Raga Homes Phase 3,Chikhali,Pimpri Chinchwad,No,12/9/2022,Sold Out
2763,P52100032592,Matrix Developers,Matrix Suryakala Apartment,Parvati ,Pune Center,No,13/09/2022,Active
2764,P52100045930,Paradigm Developers,Manor,Baner,Pune West,No,13/09/2022,Inactive
2765,P52100046717,Miracle Creation,Miracle Mathura,Akurdi,Pimpri Chinchwad,No,13/09/2022,Active
2766,P52100046570,Guddwill Spaces/Legacy Lifespaces,Legacy Imperial,Ravet,Pune West,No,13/09/2022,Sold Out
2767,"P52100004067(OC Received),P52100032961",Suyog Anjani Avishkar Associates,Suyog Anjani Sai Avishkar Phase III,Dhayari,Pune South,No,14/09/2022,Active
2768,P52100034899,Orange Corp,Orange Amara,Nigdi,Pimpri Chinchwad,No,15/09/2022,Sold Out
2769,"P52100046870,P52100051358",Garve Developers,Garve Akshara Serenity,Tathawade,Pune West,No,16/09/2022,Active
2770,P52100046635,Rathi Developer,Rathi Yashodhan Elite,Aundh,Pune West,No,15/09/2022,Active
2771,P52100034116(OC Received),Satguru Developers,Satguru Blossom Homes,Dehu Road,Pimpri Chinchwad,No,15/09/2022,Sold Out
2772,P52100046280,Shah Associates & Properties& Mangalam Landmarks,Shah KK Mangalam Emerald,Rahatani,Pune West,No,15/09/2022,Active
2773,P52100035183,Shree Enterprises,Shree Aster Sparsh,Pirangut,Pune West,No,16/09/2022,Active
2774,P52100028382,Vakratund Developers,Prabhakar,Bijali Nagar,Pimpri Chinchwad,No,16/09/2022,Inactive
2775,"P52100025516,P52100047339",Vikram Properties & Venkatesh Buildcon Pvt Ltd,Vikram Midori Tower Phase 2,Pimple Nilakh,Pimpri Chinchwad,No,16/09/2022,Active
2776,P52100046699,Platinum Promoters,Platinum Square,Bavdhan,Pune West,No,19/09/2022,Active
2777,P52100028315,Mangal Shanti Developement,Mangal Mansha Phase 2,Wagholi,Pune East,No,19/09/2022,Sold Out
2778,P52100033719,D & T PROPERTIES,D And T Rajkamal Park,Aundh,Pune West,No,19/09/2022,Active
2779,"P52100024264
",Vighnaharta Group, Vighnaharta Saidham ,Mamurdi,Pimpri Chinchwad,No,19/09/2022,Sold Out
2780,P52100046807,Ceratec Group,Ceratec Presidential Towers (Codename Superlative),Ravet,Pimpri Chinchwad,No,20/09/2022,Active
2781,"P52100046871
",Austin Realty,Austin Lush Residences,Tathawade,Pune West,No,20/09/2022,Active
2782,P52100025562,Indo Construction And Developers,Indo Homes,Swargate,Pune Center,No,21/09/2022,Active
2783,P52100035104,Deshpande Landmarks Pvt Ltd,Deshpande W60 Exotica,Sus,Pune West,No,21/09/2022,Sold Out
2784,P52100045316,Deshpande Landmarks Pvt Ltd,Deshpande Chandra,Kothrud,Pune Center,No,21/09/2022,Sold Out
2785,P52100034352,Global Group,Global Enrise,Rahatani,Pune West,No,21/09/2022,Active
2786,P52100046140,Rajvansh Group ,Rajvansh Vansh Viva,Ravet,Pune West,No,22/09/2022,Active
2787,P52100046896,Swojas Associates LLP,Swojas Avani,Erandwane,Pune Center,No,23/09/2022,Active
2788,P52100033748,K&B Group & Samrudhhi Construction,KB Asha Kunj ,Dehu Road,Pimpri Chinchwad,No,23/09/2022,Active
2789,P52100023142,Utkarsh Associates,Utkarsh Heights,Rasta Peth,Pune Center,No,26/09/2022,Active
2790,P52100046809,Swojas Associates LLP,Swojas Vallabhniwas,Kothrud,Pune Center,No,26/09/2022,Active
2791,P52100034554,Haripriya Creations,Haripriya Heights,Chikhali,Pimpri Chinchwad,No,26/09/2022,Sold Out
2792,P52100046894,Siddhidata Group,Seventy7 Skyway  ,Ravet,Pune West,No,26/09/2022,Inactive
2793,P52100046867,Supreme Universal,Supreme Villagio ,Somatane,Pimpri Chinchwad,No,27/09/2022,Active
2794,P52100002228,Alcon Properties,Alcon Mellows,Kondhwa Budruk ,Pune South,No,27/09/2022,Inactive
2795,P52100032894,Pratibha Enterprises,Pratibha Height,Ravet,Pune West,No,27/09/2022,Active
2796,P52100046868,Optima Reality,Optima The Pavilion,Ambegaon BK,Pune South,No,27/09/2022,Active
2797,P52100035202,Shreenathji Life Spaces,Shreenathji Sai Anand,Kondhwa,Pune South,No,27/09/2022,Active
2798,P52100045418,Shriram Group,Shreeram Euphoria,Lohegaon,Pune East,No,27/09/2022,Active
2799,P52100022266,MM Housing,MM Spacia,Wakad,Pune West,No,27/09/2022,Sold Out
2800,P52100045259,SM Developers & Diamond Group,Diamond 1,Mamurdi,Pimpri Chinchwad,No,27/09/2022,Active
2801,P52100046770, Fortune Group ,Fortune Prospero,Kondhwa,Pune South,No,27/09/2022,Inactive
2802,P52100012294,Siddhivinayak Kohinoor Ventures,Siddhivinayak S3 Lifestyle,Pimple Saudagar,Pimpri Chinchwad,No,28/09/2022,Active
2803,P52100033350,Siddhi's Developers,Siddhi's Splendid Homes,Baner,Pune West,No,28/09/2022,Active
2804,P52100046513,Total Environment,Total Environment Songs From The Wood Phase 2,Ghorpadi,Pune East,No,28/09/2022,Active
2805,P52100030863(OC Recieved),Vastusankalpa Promoters and Builders,Vastusankalpa Ojas Residency,Punawale,Pune West,No,28/09/2022,Sold Out
2806,P52100033820,Kundan Spaces,Kundan Praangan,Bopkhel,Pimpri Chinchwad,No,28/09/2022,Active
2807,P52100032486,JSK Associates,JSK Sai Planet,Mamurdi,Pimpri Chinchwad,No,29/09/2022,Active
2808,P52100032697,Pethe Constructions,Pethe Swaraj Heights,Ravet,Pune West,No,29/09/2022,Active
2809,P52100034635,Gupta Developers,Gupta Cherry Hills,Chinchwad,Pimpri Chinchwad,No,29/09/2022,Active
2810,P52100045769,V. K. Developers,V K Sahyadri Heights,Dhankawadi,Pune South,No,30/09/2022,Sold Out
2811,P52100046745,Sara Builders,Sara Abhiman,Chakan,Pimpri Chinchwad,No,30/09/2022,Active
2812,P52100046665,Fineline Construction,Fineline Queens Tower,Mohammed Wadi,Pune South,No,30/09/2022,Active
2813,P52100006195 (OC Received),Khivansara Associates,Khivansara The Enclave,Kondhwa,Pune South,No,30/09/2022,Sold Out
2814,P52100034877,Duville Estates,Duville Riverdale Grand,Kharadi,Pune East,No,30/09/2022,Active
2815,P52100046787,Prajol Developers ,Prajol Aashiyana B Wing,Pimpri,Pimpri Chinchwad,No,30/09/2022,Active
2816,P52100026792,Ambrosia Landmark,Ambrosia Alley,Hadapsar,Pune East,No,4/10/2022,Inactive
2817,P52100033049,N.B Bhondve Group,N B Bhondve Akashvan,Punawale,Pune West,No,4/10/2022,Active
2818,P52100046372,Nisarg Royal Developers,Royal Square ,Moshi,Pimpri Chinchwad,No,6/10/2022,Active
2819,P52100045593,Belvalkar Housing,Belvalkar Snehshilp,Kothrud,Pune Center,No,6/10/2022,Active
2820,P52100032533,SB Sai Associates,SB Sai Sanskruti,Wagholi,Pune East,No,6/10/2022,Sold Out
2821,P52100046563,Raghunath & Sons Promoters & Builders,Raghunath Amara,Dhayari,Pune South,No,7/10/2022,Sold Out
2822,P52100031396,Audumbar Homes Llp,Audumbar Marigold Calendula,Pimple Nilakh ,Pimpri Chinchwad,No,1/10/2022,Active
2823,P52100045700,Venkatesh Associates,Venkatesh Hill Side Phase 2,Dhayari,Pune South,No,7/10/2022,Inactive
2824,P52100002377,Marvel Realtors,Marvel Ribera,Sangamvadi,Pune Center,No,10/10/2022,Active
2825,P52100003804,Ellora Group,Nakshatra I land(Codename Parivar ),Moshi,Pimpri Chinchwad,No,10/10/2022,Sold Out
2826,P52100046815,N.B Bhondve Group,N B Bhalchandra Blessings,Ravet,Pune West,No,10/10/2022,Active
2827,P52100000914,Ark Prem Constructions,Ark Prem Viman Platinum,Viman Nagar,Pune East,No,10/10/2022,Sold Out
2828,P52100007996,"Nanda Raj Construction,Balaji Infra ",Harmony,Shikrapur,Pune East,No,10/10/2022,Inactive
2829,P52100032005,ECorb Infra,ECorb Pratham,Ravet,Pune West,No,10/10/2022,Sold Out
2830, P52100046514,Right Time Realtors,Right Time Western Casa,Baner,Pune West,No,11/10/2022,Active
2831,P52100045302,Shivalay Associates,Shivalay Birds Valley,Dhayari,Pune South,No,11/10/2022,Active
2832,P52100033590,Krushnav Developers,Krushnav Della Regency,Dhanori,Pune East,No,11/10/2022,Active
2833,P52100034871,Rupali Patil And Associates Promoters,Rupali Grace,Tathawade,Pune West,No,12/10/2022,Active
2834,P52100025581,Jyoti Developers,Jyoti Complex,Loni Kalbhor,Pune East,No,12/10/2022,Active
2835,P52100031364,Ganpat Shankar Kute Developers And Builders,Kute Sonchafa,Nigdi,Pimpri Chinchwad,No,12/10/2022,Active
2836,P52100019161,Silver Group,Silver Crystal,Thergaon,Pimpri Chinchwad,No,13/10/2022,Sold Out
2837,P52100031558,Nirvana Realty,Nirvana Life County,Lohegaon,Pune East,No,13/10/2022,Active
2838,P52100030805 (OC Recieved),M & M Infra Projects,M And M Morya,Ravet,Pune West,No,13/10/2022,Active
2839,P52100045998,Gulmohar Builders,Gulmohar Skypark,Dhanori,Pune East,No,13/10/2022,Sold Out
2840,P52100022592,V N Developers,V N Shreejis Orion,Talegaon Dabhade,Pimpri Chinchwad,No,13/10/2022,Active
2841,P52100004047,Sujay Ventures,Sujay Ventures Windchime Homes Phase 2,Somatane,Pimpri Chinchwad,No,13/10/2022,Sold Out
2842,P52100034097,Sai Buildcon,Sai Audumbar,Punawale,Pune West,No,14/10/2022,Sold Out
2843,P52100000555(OC Received),Sanjeevani Group,Sanjeevani Dhurva,Punawale,Pune West,No,14/10/2022,Active
2844,P52100023095,Bora Realty,Bora Samrat Sarthak,Katraj,Pune South,No,14/10/2022,Active
2845,P52100045252,Gangotree Homes,Gangotree Laxmikrupa,Kothrud,Pune Center,No,14/10/2022,Active
2846,P52100026884,Arihant Associates,Arihant Samarth Nagar Phase 2 ,Wadgaon Sheri,Pune East,No,14/10/2022,Active
2847,P52100033131,Rigved Lifespaces,Rigved Kingston,Nigdi,Pimpri Chinchwad,No,14/10/2022,Active
2848,P52100022719,Vishal Associates and Sai Properties,Vishal  Belleza,Hadapsar,Pune East,No,14/10/2022,Sold Out
2849,"P52100031667
",DVIPAA Infrastructure,Snehasparsh,Alandi,Pimpri Chinchwad,No,14/10/2022,Inactive
2850,P52100032051,Riverview City Constructions Ltd/Magarpatta City Development Co Pvt Ltd        ,Riverview Falcon Towers,Loni Kalbhor,Pune East,No,14/10/2022,Active
2851,P52100046818,Shri Bhagyalaxmi Infracon,Shri Bhagyalaxmi Tathastu Homes,Chakan,Pimpri Chinchwad,No,17/10/2022,Active
2852,OC Received,Sanjeevani Group ,Sanjeevani Sonchapha,Wakad,Pune West,No,17/10/2022,Active
2853,P52100045785,Evernest Highrise Llp,Evernest Aarambh,Chikhali,Pimpri Chinchwad,No,17/10/2022,Active
2854,P52100047061,Peridot Infra & Shrivar Builders LLP,Peridot Girivar Residency,Talegaon Dabhade,Pimpri Chinchwad,No,17/10/2022,Active
2855,P52100047171,Bhakti Sagar Developers,Bhakti Sagar Palaash Oak Prime,Baner,Pune West,No,18/10/2022,Active
2856,P52100034724,Phoenix Infraspace,Phoenix Residency,Vishrant Wadi ,Pune East,No,18/10/2022,Active
2857,P52100020717,Shree Swami Samarth Developers,Samarth Serenity,Ravet,Pune West,No,19/10/2022,Active
2858,P52100031579,B G Promoters And Builders,Hare Krishna Kunj,Kondhwa Budruk ,Pune South,No,19/10/2022,Inactive
2859,P52100015728,Ashtekar Constructions,Ashtekar Leela Grandeur,Hadapsar,Pune East,No,19/10/2022,Sold Out
2860,P52100046943,Bhakti Builders,Bhakti 28 Pearls,Chinchwad,Pimpri Chinchwad,No,19/10/2022,Active
2861,P52100046041,Prasiddhi Constructions,Prasiddhi Tatvam Residency,Ravet,Pune West,No,19/10/2022,Active
2862,P52100025752,Miracle Developers,Miracle Shree Vitthal Venue,Chikhali,Pimpri Chinchwad,No,20/10/2022,Sold Out
2863,P52100046800,Shri Sai Associates,Shri Sai Blue Oak Exotica,Kondhwa,Pune South,No,20/10/2022,Active
2864,P52100027836,R K Constructions,R K Utkarsh Residency,Old Sangvi,Pimpri Chinchwad,No,19/10/2022,Active
2865,P52100031657,Aahan Buildcon,Aahan O2,Donje,Pune West,No,20/10/2022,Active
2866,P52100047236,SRKD LANDMARK,Komal,Karve Nagar,Pune Center,No,25/10/2022,Inactive
2867,P52100033429,Glorious Group,Glorious Crown,Bhosari,Pimpri Chinchwad,No,25/10/2022,Sold Out
2868,P52100046988,Rohan Karan Infra,Rohan Karan Evana,Wadgaon Sheri,Pune East,No,27/10/2022,Active
2869,P52100021384,Venkatesh Promoters & Developers,Venkatesh Sai Elegance,Ravet,Pune West,No,27/10/2022,Sold Out
2870,OC Received,Pinnacle Group,Pinnacle 1 Golden Sparrow ,Deccan Gymkhana,Pune Center,No,27/10/2022,Sold Out
2871,P52100046862,North Cape Realty,North Cape Venicia,Baner,Pune West,No,27/10/2022,Active
2872,P52100046956,Heritage Buildcon,Heritage Vivanta Heights,Baner,Pune West,No,28/10/2022,Active
2873,P52100013661,Rajratna Developers,Rajratna Rangai Residency,Bhosari,Pimpri Chinchwad,No,28/10/2022,Active
2874,P52100029698,D A Borade And Sons,D A Borade Samarth County,Ravet,Pune West,No,28/10/2022,Active
2875,P52100018649,Belvalkar Housing,Belvalkar Riverain Classic,Sangamvadi,Pune Center,No,28/10/2022,Inactive
2876,"P52100025448,P52100025447,P52100025506",Magarpatta City Development Co Pvt Ltd,Madhuvan,Hadapsar,Pune East,No,31/10/2022,Inactive
2877,P52100032725,Amarnath Builders And Developers,Amarnath Jagatguru Heights,Dehu,Pimpri Chinchwad,No,31/10/2022,Active
2878,P52100046154,Shree Sairaj Developers,Shree Sairaj Nakshatra Residency,Katraj,Pune South,No,31/10/2022,Inactive
2879,P52100047315,Gaikwad Developers,Gaikwad Nirvanas,Wakad,Pune West,No,31/10/2022,Active
2880,P52100047366,Soham Associates / Goel Ganga Developments ,Ganga Avanta A1,Mundhwa,Pune East,No,31/10/2022,Active
2881,P52100047184,Ranawat Group,Codename Aura (Aura Waters Phase I),Anand Nagar,Pune South,No,31/10/2022,Active
2882,P52100046991,D & T Properties,D And T Mountain View,Gokhalenagar,Pune Center,No,1/11/2022,Active
2883,P52100047332,Millennium Developers,Millennium Emerald(Millennium Emirus),Wakad,Pune West,No,1/11/2022,Sold Out
2884,P52100045337,Orbiz Estate,Kanchan Heights,Anand Nagar,Pune South,No,1/11/2022,Inactive
2885,P52100047442,Vyas Buildcon Pvt Ltd,Vyas 31 Ideal,Kothrud,Pune Center,No,3/11/2022,Active
2886,P52100047444,Excellaa,Excellaa Primarc (Excellaa Prospera),Bavdhan,Pune West,No,4/11/2022,Active
2887,P52100047010,Hyc Property,Hyc Riyana,Lohegaon,Pune East,No,4/11/2022,Active
2888,P52100024287,Kajale Buildcon,Kajale Suvarnashilpa,Sadashiv Peth,Pune Center,No,4/11/2022,Active
2889,P52100047177,SVG Builders,SVG Royal Exotica Phase 2,Kondhwa,Pune South,No,7/11/2022,Active
2890,P52100046893,Pandit Javdekar Associates,Pandit Javdekar Nawal,Erandwane,Pune Center,No,7/11/2022,Sold Out
2891,P52100023216(OC Received),Mittal Realty,Sun Harmony,Moshi,Pimpri Chinchwad,No,9/11/2022,Sold Out
2892,P52100020372,"Raviraj Realty,Eisha Atharva Constructions",Raviraj Synergy,Gultekdi,Pune Center,No,9/11/2022,Active
2893,P52100047093,Ujwal Construction,Ujwal Viaan,Dhayari,Pune South,No,10/11/2022,Sold Out
2894,P52100047232,Yugal Construction & Maheshwari Developers,Yugal Aneesha,Baner,Pune West,No,10/11/2022,Active
2895,P52100047290,A&A Group,A And A Breeza,Mundhwa,Pune East,No,10/11/2022,Active
2896,P52100047088,Red Brick Habitants,Red Brick Anusaya Nest,Charholi Budruk,Pimpri Chinchwad,No,10/11/2022,Active
2897,"P52100003553 (OC Received) P52100048260,P52100047031",Nirman Square LLP,Nirman Astoria Royals,Ravet,Pune West,No,10/11/2022,Active
2898,P52100032975,Trimurti Promotors And Developers,Trimurti Ganesh Residency,Pimple Gurav,Pimpri Chinchwad,No,12/5/2023,Sold Out
2899,P52100047090,Pratik Buildcon,Pratik Vastu Vinayak,Vadgaon Budruk,Pune South,No,14/11/2022,Active
2900,P52100026725,Tejraj Infra,Tej Ameet,Shivajinagar,Pune Center,No,15/11/2022,Active
2901,P52100047187,Eagle Prestige,Eagle Madhav Appartment,Karve Nagar,Pune Center,No,15/11/2022,Active
2902,P52100047528,Nirman Greens,Nirman Nirvana,Aundh,Pune West,No,15/11/2022,Active
2903,"P52100026669,P52100050379",Tejraj Infra,Tejraj Mayurban,Shivajinagar,Pune Center,No,15/11/2022,Active
2904,P52100047124,SK Infra,SK Shyni Gold,Nigdi,Pimpri Chinchwad,No,16/11/2022,Active
2905,P52100032518,Shubharambh Properties,Shubharambh Greens,Ravet,Pune West,No,16/11/2022,Sold Out
2906,P52100047138,HS Group,Codename DND,Punawale,Pune West,No,16/11/2022,Active
2907,"P52100047248,P52100030568","Kanchan Developers,Ahura Builders,Osian Group",Osian One and Only Phase 2,Mundhwa,Pune East,No,16/11/2022,Sold Out
2908,P52100045732,Virinchi Group,Virinchi Swanand,Bavdhan,Pune West,No,17/11/2022,Sold Out
2909,P52100047094,G D Ventures,GD Tara Residency,Bhosari,Pimpri Chinchwad,No,17/11/2022,Active
2910,P52100047662, Tulip Properties,Infinity Avana (Codename Desire),Punawale,Pune West,No,17/11/2022,Active
2911,P52100047619,Kiran Creators & Developers,Kiran Swastik,Sus,Pune West,No,17/11/2022,Active
2912,P52100047122,MGP Developers,MGP Suanand,Pimple Nilakh,Pimpri Chinchwad,No,17/11/2022,Sold Out
2913,P52100047217,Chordiya Associates,Chordiya Residency,Kondhwa Budruk,Pune South,No,18/11/2022,Sold Out
2914,P52100047215,Giritirtha Associates,Giritirtha Star Solasta,Ravet,Pune West,No,18/11/2022,Active
2915,"P52100024187,P52100033399",K Raheja Group,Raheja Stellar,Mohammed Wadi,Pune South,No,18/11/2022,Active
2916,P52100047531,Bluepearl Realtors,Codename RARE(204 Blue Paradise),Baner,Pune West,No,18/11/2022,Active
2917,P52100047142,Vighnaharta Developers,Vighnaharta Pratibha Heights,Nigdi,Pimpri Chinchwad,No,21/11/2022,Active
2918,P52100047282,"Raviraj Realty,Govind Group",Raviraj Presidential Tower,Pimple Saudagar,Pimpri Chinchwad,No,21/11/2022,Active
2919,P52100047241,Yuganth Realty,Yuganth Skyline Towers,Loni Kalbhor,Pune East,No,22/11/2022,Active
2920,P52100047736,"N K Associate,Chordiya Ventures ",NK Ramesh Park,Katraj,Pune South,No,22/11/2022,Sold Out
2921,P52100045976,Solitaire World,Solitaire 10,Shivaji Nagar,Pune Center,No,22/11/2022,Inactive
2922,P52100047009,Kasturi,Kasturi The Balmoral Tower,Balewadi,Pune West,No,22/11/2022,Active
2923,"P52100047656,P52100053150,P52100053012",Mahindra Lifespaces,Bastion At Mahindra Citadel(Mahindra Quad),Pimpri ,Pimpri Chinchwad,No,23/11/2022,Active
2924,P52100047558,"Shree Sai Kuber,City one Developers",City One Vezdaa,Ravet,Pune West,No,23/11/2022,Active
2925,P52100047120,Shubhashree Associates,Shubhashree Green Villa,Nerhe,Pune West,No,23/11/2022,Active
2926,P52100047587,Lodha Group ,Lodha Giardino,Wagholi,Pune East,No,24/11/2022,Sold Out
2927,P52100047198,Divine Properties,Divine Florina,Moshi,Pimpri Chinchwad,No,24/11/2022,Active
2928,P52100032116,"Kanifnath Reality,KD Construction Venture       ",Kanifnath Archana Paradise Phase II,Mohammed Wadi,Pune South,No,24/11/2022,Active
2929,P52100047218,Aishwaryam Group,Aishwaryam Gemstone, Nigdi ,Pimpri Chinchwad,No,24/11/2022,Active
2930,P52100034098,Motive Associates,Motive Bhardwaj Residency,Sadashiv Peth,Pune Center,No,24/11/2022,Active
2931,P52100024953,Akshay Group,Akshay House,Sadashiv Peth,Pune Center,No,24/11/2022,Active
2932,P52100047392,RR Lunkad Developers,RR Lunkad Akshay Vrindavan,Charholi Budruk,Pimpri Chinchwad,No,25/11/2022,Active
2933,P52100029240,Lotus Landmarks,Lotus Aman,Kothrud,Pune Center,No,25/11/2022,Sold Out
2934,P52100045298,Muktangan Developers,Muktangan Shailyam,Ravet,Pune West,No,25/11/2022,Active
2935,"P52100047371
",Unique Properties,Unique Youtopia Phase III,Kharadi,Pune East,No,25/11/2022,Active
2936,P52100047210,Vineet Enterprises,Vineet Vishvam Phase I,Old Sangvi,Pimpri Chinchwad,No,24/11/2022,Active
2937,P52100047305,Shree Sadguru Developer,Shree Sadguru Basil Chandrakant,Ambegaon BK,Pune South,No,25/11/2022,Active
2938,P52100047530,Vardhaman Spaces,Vardhaman Skytown,Rahatani,Pune West,No,28/11/2022,Active
2939,P52100023455,"Mangalam Realty Group,Metro Realty",Mangalam Paradise,Moshi,Pimpri Chinchwad,No,28/11/2022,Active
2940,P52100012993,Shitala Associates,Shitala GN Heights,Mamurdi,Pimpri Chinchwad,No,28/11/2022,Inactive
2941,P52100031523,"Mangalam Realty Group,Metro Realty",Mangalam Signature,Moshi,Pimpri Chinchwad,No,28/11/2022,Active
2942,P52100025770,Swastik Developers,Swastik Swami Empire,Bopodi,Pune Center,No,29/11/2022,Active
2943,P52100047402,Siddhivinayak Developers,Siddhivinayak Shantay Residency,Ravet,Pune West,No,29/11/2022,Active
2944,P52100047348,Space Buildagram,Space Paramount Tower,Mohammed Wadi,Pune South,No,29/11/2022,Active
2945,P52100047310,Saikrushna Developers,Saikrushna Midori Towers,mamurdi ,Pimpri Chinchwad,No,29/11/2022,Active
2946,P52100032130,Saibaba Sales Pvt Ltd,Saibaba Shantivan,Pimpri,Pimpri Chinchwad,No,29/11/2022,Active
2947,P52100034553,Silver Group,Silver Gardenia,Bankar Vasti,Pimpri Chinchwad,No,29/11/2022,Active
2948,P52100047294,"Shagun Developer,Manav group,Bhoomi Group        ",Shagun Perfect 10 Phase V        ,Balewadi,Pune West,No,30/11/2022,Sold Out
2949,P52100047164,Shruti Promoters & Developers,Shruti Shree Ganesha Residency,Charholi Budruk,Pimpri Chinchwad,No,30/11/2022,Sold Out
2950,P52100047325,Rama Group,Rama Krystal One Phase 2,Moshi,Pimpri Chinchwad,No,30/11/2022,Active
2951,P52100030478,Silver Group,Silver Sakshi,Moshi,Pimpri Chinchwad,No,30/11/2022,Active
2952,P52100034436,Atria Constructions,Atria Rajgruhi Residency,Kondhwa Budruk,Pune South,No,1/12/2022,Active
2953,P52100046933,"Sunirman Housing,Khadke Group",Khadke Medha Apartments,Parvati ,Pune Center,No,1/12/2022,Active
2954,P52100047570,Naiknavare Developers,Naiknavare Shivatman,Shivaji Nagar,Pune Center,No,2/12/2022,Active
2955,P52100050912,Vision Creative Group,Vision Vanessa,Nigdi,Pimpri Chinchwad,No,2/12/2022,Active
2956,P52100033325,Aishwaryam Group,Aishwaryam Stonehenge,Nigdi,Pimpri Chinchwad,No,2/12/2022,Active
2957,P52100047283,KLS Constructions,KLS Avaneesh,Nigdi,Pimpri Chinchwad,No,5/12/2022,Active
2958,"P52100047367,P52100047308",Rachana Lifestyle,Bella Casa Royale N1,Baner,Pune West,No,5/12/2022,Active
2959,P52100032611,Infinity Corp,Infinity Raveera,Pimple Saudagar,Pimpri Chinchwad,No,5/12/2022,Active
2960,P52100047206,Pride Purple Properties,Pride Purple Park Landmark Phase III,Bibwewadi,Pune South,No,5/12/2022,Active
2961,P52100046983,Jain And Kudale Associated,Jain Royal Empire,Narhe,Pune South,No,6/12/2022,Active
2962,P52100045614,Ikon Projects,Ikon Parijat,Sadashiv Peth,Pune Center,No,6/12/2022,Active
2963,P52100025305 (OC Received),Stalion Buildcon,Stalion 86 Sahney Sujan Park,Kondhwa,Pune South,No,6/12/2022,Active
2964,P52100047835,ANP Group,ANP Ultimus,Wakad,Pune West,No,6/12/2022,Active
2965,P52100047921,Kolte Patil Developers,Kolte Patil Life Republic 13th Avenue,Hinjawadi,Pune West,No,6/12/2022,Sold Out
2966,P52100047323,"Four Pillars,Navkar Associates Promoters & Developers",Navkar Trimurti,Nigdi,Pimpri Chinchwad,No,7/12/2022,Sold Out
2967,P52100030828(OC Received),Bhide Kulkarni Promoters and Builders,Aaroh,Narhe,Pune South,No,7/12/2022,Inactive
2968,OC Received,"ANP Group,Five Star Construction Company",ANP Royal Hostel,Tathawade,Pune West,No,7/12/2022,Sold Out
2969,P52100027314(OC Received),Vaishnavi Construction  ,Vaishnavi Pride,Pimple Gurav,Pimpri Chinchwad,No,7/12/2022,Sold Out
2970,P52100028279,Shree Sai Developers,Shree Sai Vishwa,Undri,Pune South,No,7/12/2022,Active
2971,P52100033791,Kalpataru,Kalpataru Jade Skyline( Kalpataru Aurum),Baner,Pune West,No,7/12/2022,Active
